name,year,fuel,seller_type,transmission,owner,km_driven,selling_price
0,0,0,0,0,0,70000,60000
1,0,0,0,0,0,50000,135000
2,1,1,0,0,0,100000,600000
3,2,0,0,0,0,46000,250000
4,3,1,0,0,1,141000,450000
5,0,0,0,0,0,125000,140000
6,4,0,0,0,0,25000,550000
7,3,0,0,0,1,60000,240000
8,5,0,0,0,0,25000,850000
9,2,2,0,0,0,78000,365000
10,5,0,0,0,0,35000,260000
7,3,0,0,0,0,100000,250000
11,6,0,1,1,0,25000,1650000
0,0,0,0,0,0,70000,60000
1,0,0,0,0,0,50000,135000
2,1,1,0,0,0,100000,600000
3,2,0,0,0,0,46000,250000
4,3,1,0,0,1,141000,450000
5,0,0,0,0,0,125000,140000
6,4,0,0,0,0,25000,550000
7,3,0,0,0,1,60000,240000
8,5,0,0,0,0,25000,850000
9,2,2,0,0,0,78000,365000
10,5,0,0,0,0,35000,260000
7,3,0,0,0,0,100000,250000
11,6,0,1,1,0,25000,1650000
12,5,0,1,0,0,24000,585000
13,7,1,1,0,0,5000,1195000
14,8,1,0,0,1,33000,390000
15,3,1,1,1,0,28000,1964999
16,8,1,1,1,0,59000,1425000
17,6,1,1,1,0,4500,975000
18,9,1,1,1,0,175900,1190000
19,6,0,1,0,0,14500,930000
20,6,0,0,0,0,15000,525000
21,8,1,1,1,0,50000,1735000
22,1,1,1,1,1,33800,1375000
23,9,1,1,1,1,130400,450000
24,4,0,0,1,0,50000,900000
25,5,1,0,0,0,80000,1300000
26,7,0,0,0,0,10000,1400000
27,10,0,1,1,0,119000,850000
28,3,0,0,0,2,60000,229999
29,8,1,1,1,1,75800,1550000
30,11,1,1,1,3,78000,1250000
31,1,1,0,0,0,40000,625000
32,3,1,0,0,0,50000,1050000
33,3,1,0,0,1,74000,560000
34,3,0,0,0,1,64000,290000
35,1,0,0,0,1,60000,275000
36,11,1,0,0,1,120000,411000
37,11,0,0,0,3,79000,150000
38,7,0,0,0,0,15000,500000
39,12,0,0,0,0,80000,100000
40,2,1,1,0,0,18500,725000
41,6,0,1,0,0,10200,401000
42,6,1,1,0,0,29000,750000
43,6,0,1,0,0,28000,310000
44,4,1,1,0,0,46000,665000
45,3,1,1,0,0,70000,465000
39,1,0,0,0,1,60000,160000
46,13,1,0,0,1,35000,250000
47,3,1,1,0,0,90000,675000
35,8,0,1,0,0,80000,300000
48,14,1,0,0,0,80000,70000
49,3,0,1,0,1,73300,240000
50,3,1,1,0,0,92000,525000
39,11,0,1,0,1,66764,151000
39,11,0,0,0,0,100000,140000
51,10,1,0,0,1,350000,280000
52,9,1,0,0,0,230000,350000
53,2,1,0,0,0,60000,570000
49,6,0,0,0,0,31000,300000
54,0,1,0,0,0,39000,100000
55,11,1,0,0,3,120000,500000
56,3,1,0,0,2,166000,125000
57,12,0,0,0,3,110000,130000
58,2,1,0,0,0,35000,925000
59,6,1,0,0,0,60000,750000
60,0,0,0,1,1,54000,200000
61,10,0,0,0,1,63000,248000
62,3,1,0,0,1,120000,450000
63,14,0,0,0,3,120000,80000
64,3,0,0,0,1,76000,650000
65,5,1,0,0,0,80000,450000
66,7,1,0,0,0,25000,650000
67,4,0,1,0,0,11958,495000
68,5,0,1,0,0,20000,371000
69,2,0,1,0,0,9000,1025000
70,2,1,1,1,0,6500,8150000
71,5,1,0,0,0,70000,750000
72,8,1,0,0,0,120000,600000
73,0,0,1,0,1,58000,80000
74,8,1,1,0,0,62200,325000
75,3,1,1,1,1,34000,1470000
76,5,1,0,0,1,53000,350000
77,8,1,1,1,0,49000,2800000
78,2,0,1,0,1,15000,210000
79,8,0,0,0,0,50000,450000
80,8,1,1,1,0,53000,1150000
60,11,0,1,1,0,63500,210000
81,6,0,1,1,0,9800,4500000
82,2,1,0,1,0,13000,2750000
83,6,1,1,1,0,21000,1975000
84,15,0,1,0,0,29173,175000
85,1,1,1,1,0,48000,2500000
86,2,1,0,0,0,120000,628000
87,10,1,0,0,0,100000,600000
88,2,0,0,0,0,30000,399000
89,6,1,0,0,0,87000,750000
90,7,0,0,0,0,15000,750000
91,2,0,0,0,0,16000,315000
92,1,1,0,0,0,60000,600000
1,10,0,0,0,2,60000,100000
93,9,0,0,0,3,110000,250000
91,2,0,0,0,0,25000,350000
94,4,1,0,0,0,60000,780000
95,3,1,0,0,1,79350,434000
96,4,0,0,1,0,80000,690000
97,3,1,0,0,1,90000,555000
98,0,0,0,0,1,90000,120000
99,3,1,0,0,1,120000,500000
100,8,1,0,0,1,60000,165000
101,16,0,0,0,0,50000,95000
102,6,0,0,0,0,20000,550000
103,0,1,0,0,2,110000,100000
104,1,0,0,0,1,50000,100000
105,1,1,0,0,0,100000,500000
106,4,1,0,0,1,70000,800000
107,4,1,0,0,1,70000,840000
108,4,0,0,0,0,50000,490000
109,10,1,0,0,1,81000,125000
110,1,1,0,0,3,120000,400000
111,5,1,1,0,0,3600,1000000
112,5,0,1,0,0,14272,530000
113,2,1,1,0,0,49213,840000
114,5,0,0,0,0,40000,229999
115,17,0,0,0,2,40000,40000
116,1,0,0,0,0,80000,130000
117,5,0,0,0,0,70000,200000
118,9,1,0,0,0,70000,120000
119,18,0,0,0,0,57000,75000
120,4,1,0,0,0,120000,250000
121,14,0,0,0,0,30000,100000
117,8,0,0,0,1,3240,280000
122,5,0,0,0,0,5000,540000
123,6,0,0,0,0,10000,700000
124,5,1,0,0,0,100000,525000
125,4,1,0,0,0,80000,430000
126,19,0,0,0,0,70000,65000
127,6,1,0,0,0,35000,800000
128,0,0,0,0,1,114000,75000
129,15,0,0,0,0,53772,210000
130,1,1,0,0,1,140000,195000
131,5,1,0,0,0,120000,400000
49,1,0,0,0,0,60000,170000
91,4,0,0,0,0,25000,225000
132,3,3,0,0,0,90000,210000
133,20,0,0,0,0,120000,240000
134,5,1,0,0,0,175000,300000
116,9,0,0,0,3,100000,99000
135,3,0,0,0,0,36000,620000
4,8,1,0,0,0,30000,500000
136,10,0,0,1,1,40000,2550000
137,8,0,0,0,1,70000,260000
138,2,0,0,0,0,60000,550000
139,9,1,0,0,0,155500,150000
140,9,0,0,1,1,50000,350000
141,4,0,0,0,0,40000,320000
142,5,1,0,0,3,100000,400000
39,1,0,0,0,3,80000,175000
141,9,0,0,0,1,90000,120000
143,8,1,0,0,1,90000,320000
144,12,0,0,0,3,110000,70000
145,7,0,0,0,0,15000,810000
0,0,0,0,0,1,100000,95000
146,20,2,0,0,0,40000,282000
147,16,0,0,0,1,60000,80000
148,8,0,0,0,0,25000,72000
122,4,0,0,0,0,25000,600000
149,5,0,0,0,0,23000,640000
150,6,0,0,0,0,22155,380000
151,6,0,0,0,0,70000,650000
152,11,0,0,0,1,60000,150000
153,11,0,0,0,1,110000,280000
154,6,0,0,0,0,30000,430000
86,7,1,0,0,0,15000,800000
155,18,1,0,0,1,100000,75000
156,4,1,0,1,0,70000,650000
157,2,0,0,0,0,24000,390000
158,14,0,0,0,1,120000,100000
16,8,1,0,1,0,35000,1500000
159,0,0,0,0,0,78380,175000
143,1,1,0,0,1,110000,434999
160,10,1,0,0,3,90000,170000
160,9,1,0,0,3,90000,190000
161,11,1,0,0,3,150000,250000
162,11,1,0,0,3,230000,229999
163,12,0,0,0,3,70000,140000
142,2,1,0,0,0,80362,600000
164,1,0,0,0,3,110000,280000
165,1,1,0,0,0,60000,150000
166,5,1,0,1,0,50000,650000
167,3,0,0,0,1,40000,210000
168,2,1,0,1,0,40000,2900000
134,8,1,1,0,0,20000,425000
169,3,0,1,0,0,55000,265000
170,6,0,1,0,0,1136,890000
171,8,0,1,0,0,55000,365000
172,3,0,1,0,0,43000,350000
173,4,1,0,0,0,60000,685000
174,6,1,1,0,0,2650,940000
175,2,1,0,0,0,40000,1000000
176,7,0,1,0,0,15000,1150000
177,4,1,0,0,1,115962,450000
178,5,1,1,0,0,65000,590000
179,2,1,0,0,0,40000,800000
180,1,1,1,0,0,58000,385000
181,8,1,0,1,0,15000,2000000
117,1,0,1,0,0,54000,235000
182,2,1,1,0,0,56000,640000
152,12,0,0,0,3,120000,52000
183,11,3,0,0,1,90000,80000
152,1,0,0,0,1,70000,140000
184,15,0,0,0,1,90000,120000
185,15,1,0,0,0,213000,89999
186,1,1,0,0,0,120000,180000
187,2,1,0,0,0,20000,1500000
188,2,0,0,0,0,10000,700000
189,1,1,0,0,1,80000,285000
190,5,0,0,0,0,90000,390000
191,15,0,0,0,0,80000,125000
159,15,0,0,0,1,60000,225000
192,9,0,0,0,1,139000,175000
193,9,1,0,0,1,160000,1075000
194,3,1,0,0,0,150000,300000
195,10,1,0,0,2,163000,700000
196,11,1,1,0,0,120000,90000
197,9,1,0,0,1,120000,120000
198,1,1,0,0,1,100000,220000
199,5,1,1,0,0,140000,300000
200,10,1,1,0,1,87000,180000
115,8,0,0,0,0,70000,170000
172,5,0,0,0,1,50000,300000
201,3,1,0,0,0,70000,1050000
194,3,1,0,0,0,150000,300000
202,6,1,0,0,0,25000,465000
165,9,1,0,0,1,80000,130000
203,6,0,0,0,0,10000,434999
38,6,0,0,0,0,32000,500000
204,6,0,0,0,0,10000,200000
205,2,0,1,0,0,52000,625000
206,12,1,0,0,3,120000,110000
207,7,0,0,0,0,11240,800000
208,2,1,1,0,0,66000,490000
177,2,1,1,0,0,64000,880000
209,8,0,0,0,0,49000,290000
210,12,1,0,0,1,100000,115999
91,6,0,0,0,0,26500,360000
0,19,0,0,0,1,100000,65000
211,2,1,1,0,0,72000,685000
212,11,0,0,0,0,50000,300000
213,2,1,1,0,0,44000,680000
214,2,1,0,0,1,60000,1000000
215,19,1,0,0,0,120000,100000
162,10,1,0,0,0,130000,160000
44,2,1,0,0,0,70000,450000
216,3,0,0,0,0,20000,600000
217,11,1,0,0,1,60000,180000
39,0,0,0,0,0,195000,100000
39,10,0,0,0,1,90000,120000
218,12,0,0,0,3,80000,130000
219,9,0,0,0,0,155000,160000
86,7,1,0,0,0,35000,860000
220,6,0,0,0,1,20000,650000
1,10,0,0,0,1,80000,100000
221,2,0,0,0,0,20000,282000
222,11,0,0,0,0,50000,300000
153,10,0,0,0,1,110000,270000
223,8,1,0,0,0,29000,550000
224,8,1,0,0,0,120000,450000
225,9,1,0,0,1,70000,430000
226,8,0,0,0,0,40000,350000
227,2,0,0,0,0,20000,350000
228,8,0,0,0,1,50000,229999
229,8,0,0,0,0,50000,110000
230,1,0,0,0,1,49000,395000
231,9,1,0,1,1,70000,650000
232,9,1,0,0,1,90000,350000
233,20,1,1,0,0,25000,1400000
234,6,0,0,0,0,4000,360000
235,6,1,0,0,0,10000,1300000
236,5,1,0,0,0,15000,800000
49,6,0,0,0,0,30000,229999
237,3,0,1,0,0,41000,315000
238,1,0,0,0,0,28000,125000
239,7,0,0,0,0,16000,700000
240,5,0,0,0,0,70000,160000
241,2,0,1,0,0,10832,530000
242,6,1,1,0,0,14681,624000
192,11,0,0,0,0,50000,250000
232,4,1,1,0,0,51000,585000
243,5,0,0,0,0,25000,500000
244,3,0,0,0,0,30000,350000
245,3,1,1,0,0,80000,495000
38,2,0,0,0,0,50000,500000
246,5,1,0,0,0,200000,430000
247,8,0,1,0,0,44000,345000
248,5,0,0,0,0,10000,500000
234,7,0,0,0,0,19600,425000
133,14,0,0,0,1,40000,80000
198,9,1,0,0,0,50000,106000
249,11,0,0,0,0,46730,180000
250,5,0,0,0,1,40000,250000
251,9,1,0,0,0,80000,350000
252,19,0,0,0,1,80000,60000
253,6,1,0,0,0,24000,900000
254,2,1,1,0,0,21170,700000
255,8,1,1,1,0,167223,2000000
214,2,1,0,0,0,40000,1000000
256,9,1,0,1,0,60000,1375000
257,4,1,1,0,0,141440,1800000
258,0,1,0,0,3,120000,160000
259,1,0,0,1,0,140000,525000
71,1,1,1,0,0,212814,850000
260,7,1,0,0,0,30000,800000
261,2,1,1,0,0,88635,700000
95,6,1,0,0,0,25000,800000
220,2,0,0,0,1,20000,575000
143,1,1,0,0,1,110000,350000
103,15,1,0,0,3,120000,250000
262,9,1,1,0,1,149674,600000
263,0,1,0,0,3,100000,370000
264,12,0,0,0,3,120000,80000
265,18,1,0,0,1,120000,50000
253,6,1,0,0,0,25000,900000
35,3,0,0,0,1,35000,300000
266,19,0,0,0,0,40000,125000
95,5,1,0,0,1,60000,490000
267,1,1,0,0,1,50000,300000
268,8,0,0,0,2,25000,55000
269,4,0,0,0,0,25000,350000
202,7,1,0,0,0,8000,755000
106,2,1,0,0,0,60000,720000
232,12,1,0,0,3,200000,229999
270,6,1,0,0,0,20000,1100000
271,8,0,0,0,0,100000,400000
272,5,1,0,0,1,70000,350000
273,1,1,1,0,0,68000,159000
274,2,0,1,0,0,38000,550000
275,8,1,1,0,0,80000,335000
276,3,2,1,0,0,72000,185000
277,1,2,1,0,0,75000,229999
278,3,0,1,0,0,43000,225000
279,0,0,0,0,1,120000,250000
280,5,1,0,0,0,100000,400000
142,3,1,0,0,0,163000,470000
281,6,0,0,1,0,25000,300000
152,9,0,0,0,0,25000,145000
98,0,0,0,0,1,90000,100000
282,3,1,0,0,1,70000,500000
283,10,2,0,0,1,98000,130000
111,10,1,0,0,0,81925,240000
284,8,1,0,0,1,80000,150000
285,2,0,0,0,0,40000,270000
95,3,1,0,0,0,90000,400000
117,1,0,0,0,0,46000,200000
175,1,1,0,0,0,80000,550000
286,6,0,0,0,0,35000,325000
287,2,1,0,1,0,82080,860000
71,1,1,0,0,0,200000,600000
288,11,0,0,0,0,70000,125000
0,21,0,0,0,3,40000,60000
258,10,1,0,0,3,120000,300000
289,0,0,0,0,3,60000,190000
99,8,1,0,0,0,110000,400000
290,9,1,0,0,1,97000,260000
291,2,0,0,0,0,30000,400000
292,10,0,0,0,0,40000,250000
38,7,0,0,0,0,10000,600000
293,10,0,0,0,0,52047,175000
294,9,1,0,0,3,200000,450000
